year,n,I,I.cv,IR,IR.cv,IPR,IPR.cv,l.bar,l.k,w.bar,w.k,N,N.cv,NR,NR.cv,NPR,NPR.cv,CS,RS,CF,clappers,clappersR,g,g2,gR,gR2,C,E,U,U.cv
1986,113,6526.5360911829,0.1071006821,964.8554303505,0.1296722012,1397.6698284237,0.0994218946,95.5675286823,80.0278559305,13.6872072776,7.4778355049,476.8347522495,0.1235003791,129.028704859,0.1273518659,532.6474584665,0.1138437343,90,80,15.6125442733,29.6031988452,8.7167235231,1.347681905,1.3691585703,1.5772966629,1.6024324701,9575.5523362413,371968.636040108,11.3681030591,0.4939416596
1987,118,4184.1682757597,0.0830939733,732.6421686985,0.2790693089,766.2192158515,0.1476915033,99.069005294,80.1638657367,14.5085552299,7.3909652355,288.3931728188,0.1110895256,99.1267236889,0.3000423406,289.996221461,0.1207886004,90,80,15.3676454024,25.6325667346,6.3289304041,1.2761004924,1.3292980979,1.5358453492,1.5998711022,4951.9928758568,560815.732216134,10.1523565655,0.415658031
1988,112,2090.481228296,0.0654475627,841.2365295116,0.1262897543,753.8521159801,0.100720401,97.206309909,80.0502499455,13.9292166117,7.7577645971,150.0788799954,0.0763577607,108.4380067193,0.1278521913,286.3919710103,0.1161846706,90,80,14.7526426891,37.5547505593,23.642235133,1.3113983015,1.3500474174,1.5561476626,1.6020099542,3071.4480145592,621708.388662493,5.7765472857,0.3661957433
1989,123,2517.516101264,0.0895508644,836.5417629564,0.0938780679,990.6930819233,0.1430449781,97.1509679837,79.9955559784,12.9562501547,7.3867912165,194.3090069423,0.1016297358,113.2483291371,0.0961370527,404.9000213431,0.1467757544,90,80,14.3303044889,11.969242197,7.9111713382,1.4471475766,1.3506794116,1.717534858,1.6030424325,2815.70338228,565373.014041707,6.915492288,0.3517106329
1990,123,2398.2798272769,0.0770456668,568.3846341706,0.128705131,957.6423185695,0.138667919,100.0581046667,79.9981600117,15.3809755931,7.7421012352,155.925078534,0.0814365501,73.4147768033,0.138749501,346.68861963,0.1647533218,90,80,15.3538028603,5.2950409137,3.2433847787,1.3072605541,1.3186777716,1.5891143896,1.6029932331,3615.2965926033,534122.726674161,8.1924037917,0.2810007641
1991,131,2504.6830245515,0.0657420077,299.1071809783,0.1324530993,2056.3023306479,0.1367843777,100.8327110346,79.8278623369,15.2728160984,7.2075945735,163.9961490023,0.0726729565,41.4988909168,0.1361196267,906.4240552273,0.1478976051,90,80,15.2208684086,4.7849830239,3.7964097126,1.2645623859,1.3105446347,1.5498632344,1.6062196448,4843.0125637234,539378.737608885,9.4259435243,0.3568846244
1992,132,5752.1142688016,0.0706062491,1351.0390396271,0.0924734752,850.4734274248,0.1158074589,96.3474069554,80.5547919333,13.0168179413,7.4194043574,441.8986494821,0.0772704127,182.0953508602,0.0928819307,264.5774200966,0.1193558678,90,80,14.6868234483,13.7077120019,13.2814157221,1.3345833278,1.3599603506,1.562854686,1.5925722751,6518.996584589,597451.884534434,9.0623853552,0.3724088012
1993,131,3023.9783665348,0.0527723067,318.8425079441,0.297024258,76.0173294062,0.2628627185,102.4958734763,80.5667480475,15.7391768452,6.8010838136,192.1306556418,0.06949638,46.8811319902,0.3451574958,26.6872996707,0.2069064324,90,80,14.4127655664,6.1062679988,2.1366615839,1.3312508567,1.2936059069,1.6386891652,1.5923505123,4199.4949722237,512042.621971327,10.6228780506,0.3240867033
1994,119,1568.0627696084,0.0629083173,100.1091005123,0.2147275387,257.1328166686,0.1563729128,106.5956239435,80.5801741448,18.0845323824,7.8090505753,86.7073992544,0.0782095585,12.8196250679,0.2040807924,144.9128244725,0.1564184549,90,80,14.8321883853,2.249774484,0.2974419903,1.2166251023,1.2546770826,1.5438161604,1.5921015871,4078.3218084931,514136.8432,8.2793326311,0.4053903532
1995,105,1799.8914845262,0.0933679202,706.8336887767,0.2471142823,542.2072843319,0.243303664,100.0234414388,80.3515471637,15.0873589149,7.1919279553,119.2979828133,0.1274210707,98.2815307896,0.2517803443,183.5922529147,0.2510776708,90,80,14.3823561944,1.3498415902,0.6149302252,1.1789093828,1.3190454609,1.4267577123,1.5963553363,4981.639605615,334723.88224,5.5139373624,0.350404494
1996,120,2736.1320870671,0.1748062558,728.2796868437,0.2058903726,683.0437156627,0.236320554,106.295495801,90.2413348873,15.1528354986,9.429665131,180.5689824408,0.2003444357,77.2328260573,0.2021773659,263.4166568187,0.2733716736,100,90,12.8543671664,3.9966979489,1.1319774359,1.4797208705,1.257399079,1.6916484666,1.4374854516,5794.4993871334,288747.08824,10.2181688913,0.4724360621
1997,133,1998.0365278598,0.0676526865,325.9579079332,0.1404996235,457.8737136712,0.2057368395,111.4596312673,89.7946581495,20.9334621431,10.824541895,95.4470175168,0.0832338531,30.1128593797,0.1407234329,103.6991403931,0.1806802204,100,90,15.1271586653,12.1574642907,4.4857564044,1.1881877992,1.2131052719,1.414038409,1.4436921922,6069.7801123708,323617.00072,12.915733457,0.4731401376
1998,121,1492.2958120755,0.0694084663,328.540806858,0.2184759562,1540.635265377,0.1848303453,113.9988738107,90.3000886771,22.1283594773,11.1945299707,67.4381584232,0.0780074314,29.3483342058,0.2156999605,1452.0461802746,0.3661327954,100,90,14.816443205,4.0366554324,1.5529751702,1.4556700324,1.1931501251,1.7527757846,1.4366749334,4948.4508537742,399904.89666076,7.976340216,0.3742052434
1999,116,2737.201743797,0.0926669643,3110.0482063502,0.1785023722,1961.4155313642,0.1614790157,108.1988798744,90.0048556104,23.8207343773,13.539329108,114.908369341,0.1184552268,229.7047498842,0.180927688,447.0977842661,0.224598178,100,90,18.0763945002,4.9203433799,7.4087999969,1.1906133931,1.240456613,1.3828697828,1.4407615243,2503.316,219217.4178,10.4377725115,0.6555155462
2000,120,8735.8486713751,0.0921174477,2433.7746309278,0.2440580208,4537.7906392042,0.1896522033,111.3939564439,90.0135632922,24.6806300637,11.1725500267,353.9556587026,0.106529649,217.8351965411,0.2405757664,1214.3594851449,0.1957892775,100,90,17.3500605862,15.4741456251,10.5299991959,1.1975403848,1.2136364604,1.4215337403,1.4406404985,6212.072,150703.51368,38.3483397696,0.6080456376
2001,111,8568.8062369804,0.1016770438,1265.9375204402,0.1714587262,633.1794762078,0.1115632364,108.6907566343,90.8275204037,21.9260968408,12.5561927548,390.8039948553,0.1277601952,100.8217654155,0.1653799672,145.5509081263,0.1290985047,100,90,17.1199522327,27.0390744206,19.5124592663,1.1667723738,1.2361990176,1.3491789448,1.4294593561,6479.693,266215.78964,21.8343896301,0.5096883774
2002,126,8097.192697631,0.101431306,805.5418163838,0.1909192235,401.360414368,0.1973806596,113.5763148261,90.3672213962,24.0908009793,11.5575829878,336.1113939123,0.1197977692,69.6981208991,0.2086138838,95.1459379011,0.2315031132,100,90,16.1584720755,33.5998279475,11.5489397831,1.2094604475,1.1963939359,1.451431152,1.4357504887,6469.257,155788.96452,37.9688837415,0.7561510319
2003,123,6284.9040206292,0.0713297099,512.7034939137,0.2284080679,623.9361232307,0.1953357408,115.2362035314,90.4261853869,25.6078456391,11.9831712081,245.4288466593,0.0948226422,42.7852932258,0.2346446657,179.0804153715,0.1903353071,100,90,16.3349481152,12.9262069148,2.6495525627,1.1190309157,1.183821364,1.356405839,1.4349399895,5984.663,381438.023,14.7476000237,0.3594806513
2004,135,3657.0171312009,0.0743953169,618.9369619371,0.144613648,1062.5816931345,0.1050366599,116.2527038921,89.832495575,24.5238670573,12.5021760966,149.1207370625,0.0924102637,49.506338509,0.1397948299,428.8091136614,0.145990824,100,90,15.4409377155,1.7751638574,0.0461653528,1.0689706698,1.1763415752,1.3114382038,1.4431633401,3517.83,327489.22056,10.1427618117,0.2765032343
2005,124,3526.139502712,0.0747434374,692.1864843128,0.1029905818,1797.5428466702,0.1288043523,112.9929419134,89.8602536167,20.7551840869,10.8633020883,169.8919888135,0.0910294643,63.7178712963,0.0974063995,445.6634389601,0.1670740682,100,90,14.0315618194,2.4721203032,1.5130190695,1.2857869655,1.2009219073,1.5447317762,1.4427757324,2483.696,257083.01644,9.2361213511,0.3307091485
2006,136,4049.8502081015,0.077616103,1249.409331943,0.2188397944,1582.9129576675,0.3118522821,110.0531214745,89.8546261684,20.2027021593,10.4945623064,200.4608183677,0.1029858145,119.0530195982,0.2337176107,321.5146414019,0.3461378379,100,90,15.0231244715,3.6604465351,5.0615202041,1.3498627534,1.2246547291,1.5903709148,1.442854288,3931.476,312210.29252,11.9743986937,0.4569235702
2007,132,5705.2897123381,0.0642318761,611.1123924787,0.1835168381,1245.7394018895,0.1312531086,110.8310942654,90.5086629042,22.8032326284,11.8497318598,250.1965315756,0.0906244518,51.5718329926,0.2045114753,363.4195577115,0.1397586233,100,90,16.5590804341,7.4101045279,6.6316457474,1.1379267842,1.2182212273,1.3393044969,1.4338085635,4000.21,137100.58432,29.096568293,0.4946343623
2008,124,6421.5877890396,0.1317742591,1319.6385428396,0.1649796548,4831.5855956662,0.1616612544,109.7324495118,90.6059268689,20.8933487903,11.7100367946,307.3508154907,0.1696822164,112.6929458878,0.1731973717,2513.1057192725,0.2260117144,100,90,15.4676512986,7.1430136314,3.4846671445,1.1643734689,1.2273397628,1.3589872066,1.4324777061,5498.008,307875.8638,17.857420917,0.3330258035
2009,149,4621.1892356022,0.0643626804,3694.6919429558,0.1420300781,4870.5456322163,0.136970112,109.2955693454,89.5355697662,19.5959855524,11.5252518003,235.8232620273,0.0733297333,320.5736418576,0.1385547488,957.4615758616,0.1294782798,100,90,14.6741133503,7.5156077763,14.8455774967,1.103789207,1.2310295605,1.2977317026,1.4473289623,5523.7330734919,316861.5692728,17.4323464224,0.5463239584
2010,200,5477.1903836514,0.0768736023,2605.2194317608,0.11268359,1813.7038552281,0.1196996085,106.4791202388,90.0331799521,16.11581508,9.4450529808,339.8643107078,0.0868144926,275.8289908015,0.1116897241,386.303506564,0.1137516048,100,90,13.1573834273,19.5175878218,34.6437070623,1.3235170602,1.255731418,1.5181204705,1.4403679624,5300.0884930765,349298.238156,15.1734264759,0.3784400081
2011,200,5932.7775710906,0.0728604367,2197.6120582811,0.1820759561,1187.0093435928,0.1968562632,106.7846469633,90.1310910007,17.1388580258,9.5996311947,346.1594443554,0.0861869194,228.926717466,0.1956848271,259.5381901033,0.1690303477,100,90,13.8676321893,9.7496782996,10.8385683088,1.4383798967,1.2529726062,1.6519459315,1.439009961,4516.9750491852,260937.770478,17.3102297269,0.4951903441
2012,199,6427.9636143802,0.0723369403,1296.5803544625,0.2628171199,1376.4035178422,0.1907538144,109.6619779045,90.4729540053,21.3410253767,11.5930966168,301.202191597,0.0948882289,111.8407270571,0.2789170318,364.6239884267,0.246358586,100,90,15.9196803321,5.121921306,3.3340114315,1.3543483071,1.2279324644,1.5819593086,1.4342980917,4001.2456640284,193869.782948,20.6384288919,0.4924660701
2013,199,7356.5401586339,0.0927381959,1143.1451906543,0.164804296,1930.8966970989,0.1982491086,112.2802498708,89.9970566235,25.2334980707,12.6384407914,291.5386577806,0.0985997483,90.4498592446,0.1858135242,564.6001158499,0.2008749306,100,90,17.5586139576,2.2848085601,0.8229027611,1.1660456027,1.2065332338,1.3925186787,1.440869946,5001.3197352595,183758.843048,27.2162520317,0.5562773533
